epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,82.2217,2.29596,0.32768,0.80226,2.07975,0.00021728,0.00021728,0.00021728
2,137.191,1.86981,0.46328,0.97175,1.41878,0.000430909,0.000430909,0.000430909
3,191.332,1.19551,0.85876,0.99435,0.68075,0.000635734,0.000635734,0.000635734
4,262.223,0.74376,0.87571,0.9887,0.39962,0.00062738,0.00062738,0.00062738
5,318.068,0.49386,0.99435,1,0.13568,0.000614174,0.000614174,0.000614174
6,369.968,0.32711,0.99435,1,0.05949,0.000600967,0.000600967,0.000600967
7,426.974,0.2739,0.9887,1,0.05238,0.00058776,0.00058776,0.00058776
8,500.416,0.19069,1,1,0.02247,0.000574554,0.000574554,0.000574554
9,572.525,0.1263,1,1,0.00859,0.000561347,0.000561347,0.000561347
10,636.201,0.13891,0.99435,1,0.01469,0.000548141,0.000548141,0.000548141
11,708.28,0.12382,1,1,0.00717,0.000534934,0.000534934,0.000534934
12,778.313,0.10129,1,1,0.00414,0.000521727,0.000521727,0.000521727
13,832.237,0.12397,1,1,0.00345,0.000508521,0.000508521,0.000508521
14,881.086,0.08416,1,1,0.01213,0.000495314,0.000495314,0.000495314
15,936.309,0.07658,1,1,0.00337,0.000482108,0.000482108,0.000482108
16,986.673,0.07278,1,1,0.00247,0.000468901,0.000468901,0.000468901
17,1040.26,0.05423,1,1,0.00162,0.000455694,0.000455694,0.000455694
18,1091.75,0.05455,1,1,0.00123,0.000442488,0.000442488,0.000442488
19,1159.58,0.04073,1,1,0.00135,0.000429281,0.000429281,0.000429281
20,1209.32,0.06716,1,1,0.00221,0.000416075,0.000416075,0.000416075
21,1261.22,0.03722,1,1,0.00116,0.000402868,0.000402868,0.000402868
22,1306.03,0.02949,1,1,0.00057,0.000389661,0.000389661,0.000389661
23,1356.32,0.04899,1,1,0.00042,0.000376455,0.000376455,0.000376455
24,1408.06,0.03358,1,1,0.00042,0.000363248,0.000363248,0.000363248
25,1459.54,0.05498,1,1,0.00026,0.000350042,0.000350042,0.000350042
26,1504.6,0.03351,1,1,0.00029,0.000336835,0.000336835,0.000336835
27,1549.95,0.06079,1,1,0.00041,0.000323628,0.000323628,0.000323628
28,1596.31,0.04029,1,1,0.00017,0.000310422,0.000310422,0.000310422
29,1650.25,0.02866,1,1,0.0001,0.000297215,0.000297215,0.000297215
30,1700.77,0.02543,1,1,0.0001,0.000284009,0.000284009,0.000284009
31,1752.09,0.03126,1,1,0.0002,0.000270802,0.000270802,0.000270802
32,1818.05,0.08107,1,1,0.00074,0.000257595,0.000257595,0.000257595
33,1866.43,0.02996,1,1,0.00016,0.000244389,0.000244389,0.000244389
34,1918.05,0.02544,1,1,0.00021,0.000231182,0.000231182,0.000231182
35,1966.92,0.02293,1,1,0.00011,0.000217976,0.000217976,0.000217976
36,2013.5,0.01606,1,1,0.00012,0.000204769,0.000204769,0.000204769
37,2063.56,0.05663,1,1,0.0001,0.000191562,0.000191562,0.000191562
38,2111.37,0.06699,1,1,7e-05,0.000178356,0.000178356,0.000178356
39,2159.09,0.02005,1,1,8e-05,0.000165149,0.000165149,0.000165149
40,2207.67,0.01558,1,1,8e-05,0.000151943,0.000151943,0.000151943
41,2267.5,0.02139,1,1,0.00012,0.000138736,0.000138736,0.000138736
42,2310.54,0.02085,1,1,9e-05,0.000125529,0.000125529,0.000125529
43,2364.93,0.01274,1,1,6e-05,0.000112323,0.000112323,0.000112323
44,2411.33,0.01334,1,1,8e-05,9.91162e-05,9.91162e-05,9.91162e-05
45,2459.73,0.01372,1,1,9e-05,8.59096e-05,8.59096e-05,8.59096e-05
46,2505.07,0.0099,1,1,8e-05,7.2703e-05,7.2703e-05,7.2703e-05
47,2552.15,0.01413,1,1,4e-05,5.94964e-05,5.94964e-05,5.94964e-05
48,2596.61,0.0114,1,1,6e-05,4.62898e-05,4.62898e-05,4.62898e-05
49,2646.85,0.02247,1,1,6e-05,3.30832e-05,3.30832e-05,3.30832e-05
50,2692.05,0.02399,1,1,7e-05,1.98766e-05,1.98766e-05,1.98766e-05
1,98.3949,2.81722,0.21091,0.62909,2.61523,0.000149436,0.000149436,0.000149436
2,163.042,2.41129,0.55636,0.89818,1.76845,0.000295141,0.000295141,0.000295141
3,238.988,1.6377,0.73455,0.96727,0.91406,0.00043484,0.00043484,0.00043484
4,331.647,1.02594,0.88364,0.97091,0.5019,0.000427973,0.000427973,0.000427973
5,412.641,0.67159,0.93818,0.99636,0.27495,0.000418964,0.000418964,0.000418964
6,498.918,0.51551,0.96727,0.99636,0.17545,0.000409955,0.000409955,0.000409955
7,583.985,0.34736,0.99273,0.99636,0.09479,0.000400946,0.000400946,0.000400946
8,671.687,0.31068,0.99273,1,0.06192,0.000391937,0.000391937,0.000391937
9,750.188,0.24343,0.99636,1,0.04149,0.000382928,0.000382928,0.000382928
10,824.824,0.19079,1,1,0.0307,0.000373919,0.000373919,0.000373919
11,902.036,0.16186,0.99273,1,0.02854,0.00036491,0.00036491,0.00036491
12,981.532,0.14455,0.99636,1,0.01531,0.000355901,0.000355901,0.000355901
13,1060.89,0.14229,0.99636,1,0.01724,0.000346892,0.000346892,0.000346892
14,1151.68,0.12273,1,1,0.01255,0.000337883,0.000337883,0.000337883
15,1226.11,0.10204,1,1,0.00812,0.000328874,0.000328874,0.000328874
16,1299.45,0.09303,1,1,0.00754,0.000319865,0.000319865,0.000319865
17,1373.04,0.08412,1,1,0.00632,0.000310856,0.000310856,0.000310856
18,1440.04,0.08322,1,1,0.00297,0.000301847,0.000301847,0.000301847
19,1516.71,0.08229,1,1,0.00244,0.000292838,0.000292838,0.000292838
20,1586.99,0.06045,1,1,0.00359,0.000283829,0.000283829,0.000283829
21,1655.85,0.04435,1,1,0.003,0.00027482,0.00027482,0.00027482
22,1730.25,0.06687,1,1,0.00315,0.000265811,0.000265811,0.000265811
23,1795.14,0.05344,1,1,0.0026,0.000256802,0.000256802,0.000256802
24,1868.21,0.05485,1,1,0.00396,0.000247793,0.000247793,0.000247793
25,1942.55,0.05584,1,1,0.00193,0.000238784,0.000238784,0.000238784
26,2014.9,0.04075,1,1,0.00178,0.000229775,0.000229775,0.000229775
27,2086.09,0.03349,1,1,0.0012,0.000220766,0.000220766,0.000220766
28,2161.07,0.03445,1,1,0.00179,0.000211757,0.000211757,0.000211757
29,2229.46,0.06078,1,1,0.00357,0.000202748,0.000202748,0.000202748
30,2303.18,0.0646,1,1,0.00056,0.000193739,0.000193739,0.000193739
31,2376.85,0.04711,1,1,0.00084,0.00018473,0.00018473,0.00018473
32,2453.17,0.0271,1,1,0.00245,0.000175721,0.000175721,0.000175721
33,2523.67,0.03976,1,1,0.00219,0.000166712,0.000166712,0.000166712
34,2603.6,0.04406,1,1,0.00081,0.000157703,0.000157703,0.000157703
35,2674.15,0.02901,1,1,0.0005,0.000148694,0.000148694,0.000148694
36,2754.56,0.03338,1,1,0.00032,0.000139685,0.000139685,0.000139685
37,2835.95,0.02779,1,1,0.00042,0.000130676,0.000130676,0.000130676
38,2922.79,0.03702,1,1,0.00094,0.000121667,0.000121667,0.000121667
39,2998.53,0.02512,1,1,0.00062,0.000112658,0.000112658,0.000112658
40,3078.03,0.04453,1,1,0.00039,0.000103649,0.000103649,0.000103649
41,3181.42,0.02944,1,1,0.00051,9.464e-05,9.464e-05,9.464e-05
42,3260.22,0.031,1,1,0.00047,8.5631e-05,8.5631e-05,8.5631e-05
43,3345.52,0.02748,1,1,0.00029,7.6622e-05,7.6622e-05,7.6622e-05
44,3428.23,0.03166,1,1,0.00032,6.7613e-05,6.7613e-05,6.7613e-05
45,3511.18,0.03595,1,1,0.00033,5.8604e-05,5.8604e-05,5.8604e-05
46,3592.93,0.02747,1,1,0.00044,4.9595e-05,4.9595e-05,4.9595e-05
47,3674.27,0.04623,1,1,0.00051,4.0586e-05,4.0586e-05,4.0586e-05
48,3761.26,0.02502,1,1,0.00028,3.1577e-05,3.1577e-05,3.1577e-05
49,3843.96,0.02546,1,1,0.00046,2.2568e-05,2.2568e-05,2.2568e-05
50,3924.53,0.03197,1,1,0.00032,1.3559e-05,1.3559e-05,1.3559e-05
1,150.996,2.81245,0.20683,0.62249,2.56665,0.000149817,0.000149817,0.000149817
2,302.123,2.30752,0.59839,0.93775,1.53735,0.000295514,0.000295514,0.000295514
3,466.828,1.42513,0.85141,0.9739,0.67744,0.000435206,0.000435206,0.000435206
4,609.777,0.91243,0.94779,0.98996,0.34626,0.000427973,0.000427973,0.000427973
5,760.296,0.60413,0.95984,0.99197,0.2394,0.000418964,0.000418964,0.000418964
6,930.054,0.43368,0.97992,1,0.12992,0.000409955,0.000409955,0.000409955
7,1116.5,0.33139,0.98594,0.99799,0.10279,0.000400946,0.000400946,0.000400946
8,1273.34,0.2456,0.98996,1,0.05729,0.000391937,0.000391937,0.000391937
9,1454.26,0.22548,0.99398,1,0.04583,0.000382928,0.000382928,0.000382928
10,1642.52,0.18971,0.99398,1,0.04622,0.000373919,0.000373919,0.000373919
11,1791.85,0.1525,0.99197,1,0.03533,0.00036491,0.00036491,0.00036491
12,1948.02,0.16357,0.99398,1,0.02817,0.000355901,0.000355901,0.000355901
13,2126.72,0.1234,0.99598,1,0.0224,0.000346892,0.000346892,0.000346892
14,2256.88,0.10309,0.99398,1,0.02557,0.000337883,0.000337883,0.000337883
15,2411.55,0.09793,0.99598,0.99799,0.03395,0.000328874,0.000328874,0.000328874
16,2558.77,0.09314,0.99398,1,0.02691,0.000319865,0.000319865,0.000319865
17,2725.92,0.1202,0.99598,1,0.02797,0.000310856,0.000310856,0.000310856
18,2883.02,0.08557,0.99398,0.99799,0.03972,0.000301847,0.000301847,0.000301847
19,3034.47,0.09149,0.99598,0.99799,0.02632,0.000292838,0.000292838,0.000292838
20,3199.2,0.09585,0.99598,1,0.016,0.000283829,0.000283829,0.000283829
21,3382.96,0.08429,0.99598,1,0.02571,0.00027482,0.00027482,0.00027482
22,3538.07,0.07823,0.99598,1,0.01955,0.000265811,0.000265811,0.000265811
23,3685.72,0.08707,0.99598,1,0.02821,0.000256802,0.000256802,0.000256802
24,3853.47,0.07804,0.99598,1,0.03008,0.000247793,0.000247793,0.000247793
25,4010.62,0.07391,0.99598,1,0.0218,0.000238784,0.000238784,0.000238784
26,4133.04,0.04673,0.99598,1,0.02916,0.000229775,0.000229775,0.000229775
27,4310.56,0.06434,0.99598,1,0.01885,0.000220766,0.000220766,0.000220766
28,4458.33,0.06279,0.99598,1,0.02251,0.000211757,0.000211757,0.000211757
29,4602.57,0.06371,0.99598,1,0.02352,0.000202748,0.000202748,0.000202748
30,4778.17,0.05102,0.99598,1,0.01979,0.000193739,0.000193739,0.000193739
31,4938.04,0.06806,0.99598,1,0.02319,0.00018473,0.00018473,0.00018473
32,5107.07,0.05829,0.99598,1,0.0209,0.000175721,0.000175721,0.000175721
33,5259.71,0.05355,0.99598,1,0.03019,0.000166712,0.000166712,0.000166712
34,5438.89,0.06063,0.99598,1,0.02217,0.000157703,0.000157703,0.000157703
35,5623.41,0.05972,0.99598,1,0.02379,0.000148694,0.000148694,0.000148694
36,5815.36,0.05243,0.99598,1,0.02141,0.000139685,0.000139685,0.000139685
37,6017.62,0.04498,0.99598,1,0.02903,0.000130676,0.000130676,0.000130676
38,6197.57,0.05472,0.99598,1,0.03288,0.000121667,0.000121667,0.000121667
39,6383.02,0.03919,0.99598,1,0.03202,0.000112658,0.000112658,0.000112658
40,6585.86,0.05891,0.99598,1,0.02879,0.000103649,0.000103649,0.000103649
41,6799.87,0.04799,0.99598,1,0.02704,9.464e-05,9.464e-05,9.464e-05
42,7012.56,0.05529,0.99598,1,0.02567,8.5631e-05,8.5631e-05,8.5631e-05
43,7199.34,0.0568,0.99598,1,0.02499,7.6622e-05,7.6622e-05,7.6622e-05
44,7438.47,0.07023,0.99598,1,0.02349,6.7613e-05,6.7613e-05,6.7613e-05
45,7649.44,0.05232,0.99598,1,0.02494,5.8604e-05,5.8604e-05,5.8604e-05
46,7848.66,0.05275,0.99598,1,0.02355,4.9595e-05,4.9595e-05,4.9595e-05
47,8057.37,0.061,0.99598,1,0.02319,4.0586e-05,4.0586e-05,4.0586e-05
48,8256.74,0.05327,0.99598,1,0.02639,3.1577e-05,3.1577e-05,3.1577e-05
49,8467.03,0.04817,0.99598,1,0.02352,2.2568e-05,2.2568e-05,2.2568e-05
50,8671.12,0.0359,0.99598,1,0.02269,1.3559e-05,1.3559e-05,1.3559e-05
