epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,402.468,1.75006,4.06068,1.97147,0.17637,0.24114,0.18979,0.07414,1.96365,3.35335,2.02298,0.00332901,0.00332901,0.00332901
2,801.599,1.73159,2.96959,1.85673,0.17326,0.22003,0.16483,0.063,2.02264,3.0345,2.04109,0.00659639,0.00659639,0.00659639
3,1199.37,1.76838,2.72155,1.88695,0.25055,0.24537,0.15614,0.05892,2.03575,3.13942,2.12196,0.00979776,0.00979776,0.00979776
4,1594.43,1.79575,2.51219,1.89898,0.28877,0.24779,0.21755,0.0868,2.02981,2.85834,2.0512,0.009703,0.009703,0.009703
5,1989.12,1.74053,2.24634,1.86242,0.26099,0.27569,0.25151,0.09813,2.02714,2.68324,2.04013,0.009604,0.009604,0.009604
6,2383.43,1.7191,2.09625,1.83151,0.33955,0.27912,0.25722,0.11141,1.9529,2.814,1.96306,0.009505,0.009505,0.009505
7,2779.07,1.68717,1.99963,1.79909,0.33259,0.30689,0.29101,0.12067,1.97644,2.73455,1.98285,0.009406,0.009406,0.009406
8,3173.89,1.66335,1.92051,1.78673,0.38233,0.29266,0.27532,0.1172,1.96868,2.92622,1.97892,0.009307,0.009307,0.009307
9,3568.86,1.64552,1.88194,1.77573,0.33451,0.38715,0.33853,0.14139,1.96233,2.37825,2.01306,0.009208,0.009208,0.009208
10,3963.58,1.63212,1.81532,1.76028,0.3776,0.36639,0.31213,0.13344,1.9386,2.26264,1.98132,0.009109,0.009109,0.009109
11,4358.63,1.6226,1.784,1.75076,0.41568,0.36904,0.3555,0.1555,1.90497,2.48265,1.95835,0.00901,0.00901,0.00901
12,4753.44,1.6148,1.75184,1.7479,0.42158,0.36594,0.32642,0.13743,1.93803,2.4188,2.00525,0.008911,0.008911,0.008911
13,5148.82,1.59872,1.70575,1.73845,0.55933,0.33718,0.34759,0.1625,1.86475,2.49682,1.9092,0.008812,0.008812,0.008812
14,5544.08,1.58735,1.66825,1.7261,0.49343,0.40336,0.35506,0.15265,1.87537,2.33947,1.92003,0.008713,0.008713,0.008713
15,5939.46,1.58416,1.65111,1.71843,0.35082,0.40823,0.35853,0.14945,1.91932,2.29778,1.95547,0.008614,0.008614,0.008614
16,6334.91,1.57685,1.61431,1.70842,0.50553,0.3868,0.39352,0.16889,1.89776,2.22065,1.94733,0.008515,0.008515,0.008515
17,6730.33,1.56942,1.58815,1.70645,0.46436,0.42917,0.43495,0.19438,1.92969,2.27114,1.9429,0.008416,0.008416,0.008416
18,7126.38,1.555,1.54853,1.69441,0.38508,0.43733,0.38036,0.1657,1.89032,2.08137,1.88608,0.008317,0.008317,0.008317
19,7521.75,1.54713,1.53793,1.68745,0.47548,0.43568,0.42144,0.19197,1.90825,2.00404,1.89231,0.008218,0.008218,0.008218
20,7917.3,1.54632,1.52846,1.68691,0.48371,0.42688,0.43724,0.18245,1.91722,2.22036,1.90388,0.008119,0.008119,0.008119
21,8312.78,1.53977,1.50719,1.68451,0.55326,0.41804,0.41342,0.18448,1.87834,2.07882,1.90548,0.00802,0.00802,0.00802
22,8708.11,1.52901,1.47299,1.67422,0.62086,0.43942,0.45161,0.19528,1.87307,1.96914,1.85697,0.007921,0.007921,0.007921
23,9103.47,1.52541,1.46311,1.66829,0.55318,0.39601,0.42693,0.18968,1.84162,2.16973,1.84663,0.007822,0.007822,0.007822
24,9499.07,1.51612,1.43631,1.66193,0.56589,0.45842,0.45275,0.20231,1.84671,1.98769,1.88753,0.007723,0.007723,0.007723
25,9894.42,1.51345,1.43061,1.66042,0.45979,0.44701,0.40666,0.17709,1.89991,2.05075,1.89957,0.007624,0.007624,0.007624
